total_bill,tip,sex,smoker,day,time,size
13.22,3.24,Male,Yes,Thur,Lunch,2
40.63,7.85,Female,Yes,Thur,Dinner,5
9.37,1.46,Female,Yes,Fri,Lunch,3
26.76,5.53,Male,Yes,Sun,Dinner,1
16.44,3.29,Female,Yes,Sun,Dinner,1
47.37,5.54,Female,No,Sun,Dinner,6
32.02,4.4,Male,Yes,Sat,Dinner,4
43.84,4.53,Female,No,Thur,Lunch,6
34.04,3.49,Male,Yes,Thur,Dinner,1
24.65,5.36,Male,No,Sat,Lunch,6
35.33,4.13,Female,No,Sat,Lunch,3
49.59,9.71,Male,Yes,Sun,Lunch,5
23.67,5.24,Male,Yes,Sat,Dinner,1
45.44,9.33,Male,Yes,Sun,Lunch,5
46.13,5.48,Female,No,Sun,Lunch,6
38.53,6.79,Male,No,Fri,Dinner,5
38.04,6.85,Male,No,Fri,Dinner,4
36.89,5.9,Male,Yes,Fri,Dinner,4
20.37,2.43,Male,Yes,Sun,Lunch,6
32.46,7.54,Male,No,Fri,Lunch,1
35.34,6.73,Male,No,Sun,Lunch,5
14.74,2.1,Female,Yes,Thur,Lunch,4
14.19,2.83,Male,No,Thur,Lunch,5
22.14,4.23,Female,No,Sun,Lunch,3
14.11,2.09,Female,Yes,Fri,Dinner,3
20.25,4.76,Female,Yes,Sun,Dinner,4
35.07,2.44,Female,No,Sun,Lunch,5
17.59,4.21,Female,No,Sun,Dinner,4
37.5,6.66,Female,Yes,Fri,Dinner,3
8.72,1.86,Female,Yes,Sat,Dinner,4
46.53,10.05,Female,No,Sun,Lunch,3
41.78,2.59,Male,No,Sat,Lunch,1
16.61,3.45,Male,No,Sat,Dinner,5
38.11,9.39,Female,No,Sat,Lunch,5
43.04,5.99,Female,Yes,Sun,Lunch,1
34.39,8.41,Male,Yes,Thur,Dinner,1
17.48,1.74,Female,Yes,Fri,Dinner,4
27.63,4.52,Male,Yes,Sun,Lunch,4
36.87,8.61,Female,No,Fri,Dinner,4
24.06,3.61,Female,No,Thur,Lunch,1
33.29,5.98,Female,No,Sat,Dinner,3
9.89,2.32,Male,Yes,Sat,Dinner,5
30.53,7.12,Male,No,Thur,Lunch,2
21.83,2.38,Male,No,Sun,Lunch,6
22.28,4.96,Female,Yes,Sun,Dinner,6
36.84,2.33,Female,Yes,Fri,Dinner,3
7.19,1.14,Male,No,Sat,Dinner,2
22.61,5.01,Female,No,Thur,Lunch,6
9.86,0.64,Female,No,Thur,Dinner,1
34.54,7.4,Male,No,Sat,Lunch,5
8.78,0.85,Male,No,Thur,Lunch,1
14.43,2.11,Male,No,Sat,Lunch,6
6.46,1.05,Male,Yes,Sat,Dinner,3
32.8,5.27,Male,Yes,Thur,Lunch,5
47.61,7.79,Female,Yes,Fri,Lunch,5
14.15,3.04,Female,Yes,Fri,Lunch,5
39.25,7.8,Female,No,Thur,Lunch,1
28.73,3.31,Male,No,Fri,Dinner,4
44.24,9.71,Female,No,Thur,Lunch,5
6.76,0.63,Male,Yes,Sun,Lunch,3
41.55,7.44,Female,No,Fri,Lunch,6
44.96,3.68,Male,Yes,Sun,Lunch,1
47.9,9.27,Male,No,Sun,Lunch,1
11.25,2.54,Male,No,Fri,Dinner,3
20.81,1.08,Female,No,Sun,Lunch,4
31.18,5.47,Female,No,Fri,Dinner,5
45.14,8.51,Female,Yes,Sun,Lunch,4
23.63,4.89,Female,Yes,Sat,Dinner,2
39.19,5.19,Female,No,Sun,Dinner,4
27.73,6.76,Female,No,Thur,Lunch,4
40.35,5.61,Male,Yes,Thur,Dinner,5
35.83,5.65,Female,Yes,Sun,Dinner,5
6.87,1.71,Female,No,Sun,Dinner,1
14.51,3.13,Male,No,Thur,Lunch,3
45.69,6.06,Male,Yes,Fri,Lunch,6
9.44,0.53,Female,No,Fri,Lunch,3
35.69,4.78,Male,Yes,Fri,Lunch,3
5.21,0.26,Female,Yes,Sun,Dinner,5
8.32,1.17,Male,No,Sun,Lunch,5
46.35,5.43,Male,No,Fri,Dinner,2
18.98,2.36,Female,No,Sat,Dinner,3
41.22,2.45,Female,Yes,Fri,Lunch,3
34.7,5.94,Female,Yes,Fri,Lunch,2
41.86,5.25,Male,Yes,Sat,Lunch,4
33.59,6.42,Female,No,Thur,Dinner,4
11.47,0.66,Female,Yes,Sun,Lunch,6
21.41,4.24,Female,No,Sat,Lunch,2
30.82,6.81,Female,No,Fri,Lunch,2
39.72,8.65,Male,No,Thur,Dinner,2
38.6,2.22,Female,Yes,Sun,Dinner,5
39.68,8.88,Male,Yes,Fri,Lunch,4
38.07,6.13,Female,Yes,Sun,Dinner,2
28.45,2.31,Female,Yes,Sun,Dinner,2
36.36,6.17,Female,No,Thur,Lunch,1
43.55,8.44,Female,Yes,Sun,Dinner,4
34.52,5.07,Female,Yes,Fri,Lunch,2
46.53,2.65,Male,No,Fri,Lunch,2
15.38,3.35,Female,No,Sat,Lunch,1
16.28,2.63,Male,Yes,Fri,Lunch,3
7.75,1.39,Female,No,Sun,Lunch,6
40.37,8.32,Female,Yes,Fri,Dinner,4
38.77,4.24,Male,Yes,Fri,Dinner,5
19.35,2.04,Female,Yes,Sat,Dinner,1
7.09,1.63,Male,Yes,Sat,Lunch,3
17.32,2.31,Male,No,Sun,Dinner,6
23.72,5.32,Female,No,Fri,Dinner,4
10.26,1.27,Male,No,Sat,Dinner,4
42.93,2.4,Male,No,Thur,Lunch,5
35.03,5.34,Male,No,Sun,Dinner,1
34.34,5.53,Female,Yes,Sat,Dinner,6
48.31,6.04,Female,Yes,Fri,Lunch,6
39.58,3.75,Male,Yes,Thur,Dinner,2
48.1,11.92,Female,Yes,Fri,Lunch,4
49.31,6.74,Male,No,Thur,Lunch,5
5.61,1.15,Female,No,Fri,Lunch,2
18.32,4.25,Female,Yes,Sat,Dinner,5
27.11,1.88,Male,No,Thur,Lunch,6
29.92,4.95,Female,No,Sat,Dinner,1
45.14,3.23,Male,No,Sun,Dinner,6
13.17,1.6,Female,No,Sun,Dinner,3
35.22,7.93,Female,Yes,Fri,Lunch,5
38.01,4.84,Male,No,Sun,Dinner,4
45.56,2.86,Female,Yes,Sun,Lunch,5
5.82,0.45,Male,No,Fri,Lunch,4
15.45,2.14,Female,No,Fri,Lunch,5
40.71,5.39,Male,No,Thur,Dinner,6
48.82,8.85,Male,Yes,Sat,Lunch,1
47.53,5.38,Female,No,Thur,Lunch,5
47.39,4.7,Female,No,Sat,Dinner,4
39.87,7.57,Female,Yes,Thur,Dinner,4
46.99,8.97,Female,No,Fri,Dinner,2
48.36,8.04,Male,Yes,Sun,Dinner,3
7.2,1.71,Male,No,Sun,Dinner,3
8.56,0.65,Male,No,Thur,Lunch,1
10.85,1.74,Male,Yes,Sun,Dinner,5
6.76,1.21,Female,No,Thur,Dinner,4
8.34,1.02,Female,No,Sat,Dinner,6
30.56,3.16,Male,No,Fri,Lunch,5
39.9,4.78,Male,Yes,Sun,Dinner,4
32.76,5.87,Male,No,Thur,Dinner,2
25.01,2.05,Female,No,Sat,Lunch,2
33.11,7.67,Male,No,Fri,Lunch,5
34.29,8.44,Male,Yes,Sat,Lunch,4
30.88,4.02,Female,No,Sat,Lunch,2
47.27,6.0,Female,Yes,Fri,Lunch,1
30.89,4.35,Female,Yes,Sat,Dinner,2
5.04,0.33,Female,Yes,Fri,Lunch,6
43.08,6.8,Female,No,Sat,Lunch,3
48.28,6.79,Male,No,Sun,Dinner,2
31.28,2.22,Female,No,Sun,Lunch,2
29.65,3.74,Male,No,Sun,Dinner,3
5.37,0.5,Male,Yes,Sun,Dinner,3
26.5,4.15,Male,No,Sat,Lunch,4
41.86,8.19,Female,Yes,Sat,Lunch,6
18.43,0.92,Female,No,Sun,Dinner,5
35.65,7.5,Female,Yes,Sun,Dinner,1
49.43,4.99,Male,No,Sun,Lunch,2
49.39,3.14,Male,No,Sat,Dinner,2
18.46,1.02,Male,No,Sun,Dinner,5
42.43,8.92,Male,No,Sat,Lunch,3
48.19,10.51,Male,Yes,Thur,Dinner,1
19.64,2.09,Male,No,Sat,Dinner,3
39.92,9.2,Female,Yes,Sat,Lunch,4
10.27,2.5,Male,No,Sat,Dinner,6
13.68,2.84,Male,No,Sun,Lunch,3
18.16,3.21,Male,Yes,Sun,Lunch,1
33.11,3.98,Female,No,Sun,Dinner,6
26.81,4.29,Male,Yes,Thur,Dinner,1
35.34,7.09,Female,Yes,Sat,Dinner,5
48.92,11.46,Female,Yes,Sun,Lunch,2
24.57,4.55,Female,Yes,Sun,Lunch,5
35.3,8.7,Female,No,Thur,Dinner,3
9.97,1.58,Female,Yes,Thur,Dinner,1
13.51,0.79,Female,No,Fri,Dinner,6
8.68,1.49,Male,No,Sat,Lunch,2
34.31,4.03,Female,Yes,Sun,Dinner,3
25.96,3.99,Female,No,Fri,Lunch,5
12.91,2.97,Female,Yes,Thur,Lunch,2
43.53,6.51,Female,No,Fri,Lunch,5
24.02,4.97,Male,No,Thur,Dinner,4
35.73,3.0,Male,Yes,Fri,Dinner,1
42.65,7.14,Female,No,Sun,Lunch,2
38.26,9.34,Male,Yes,Thur,Dinner,1
27.07,3.44,Male,Yes,Sat,Dinner,6
10.0,2.5,Female,Yes,Sat,Lunch,1
39.43,5.94,Female,Yes,Fri,Lunch,6
47.38,10.25,Female,No,Fri,Lunch,4
12.17,1.36,Female,No,Fri,Lunch,5
19.58,1.46,Male,Yes,Sat,Lunch,1
20.18,4.07,Female,No,Fri,Dinner,6
39.78,5.91,Female,No,Sun,Lunch,2
49.25,7.62,Female,No,Thur,Lunch,1
20.86,3.41,Male,No,Fri,Lunch,6
44.62,8.39,Female,Yes,Sun,Lunch,3
